Distance,Point,B,L,H,Density_Cs_min,Density_Cs_max,,Density_Sr_min,Density_Sr_max,log-normal,SA_Cs-137,SA_Sr-90,Soil_Type,Soil_Subtype,Soil_Granulometry,Plant_Formation,Plant_Type,Age,"Wood_Stock, m3/ha",Wood_ATF_Cs-137,Wood_ATF_Sr-90,Leaf_Cs-137,Leaf_Sr-90,SA_Cs_Wood,Leaf,Dose_external,Dose_internal (inhal.),3.90E-08,1.60E-07,1.00E-08,1.41,internal (inhal.),internal (inhal.),internal (inhal.),internal (inhal.) 2040 h,internal (inhal.) 2040 h,internal (inhal.) 2040 h,,,
0,1,52.319150,30.887126,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3183,30.8861,"52.3183497499999,30.88605875"
0.1,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3175,30.8850,"52.3175495,30.8849915"
0.2,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3167,30.8839,"52.31674925,30.88392425"
0.3,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3159,30.8829,"52.3159489999999,30.882857"
0.4,2,52.315949,30.882857,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3152,30.8818,"52.3151584999999,30.881795"
0.5,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3144,30.8807,"52.314368,30.880733"
0.6,3,52.314368,30.880733,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3145,30.8793,"52.314489,30.8793432307692"
0.7,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3146,30.8780,"52.31461,30.8779534615384"
0.8,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3147,30.8766,"52.314731,30.8765636923076"
0.9,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3149,30.8752,"52.314852,30.8751739230769"
