Stage,UG,Point,B,L,Y_1m_1,Y_1m_2,Y_1m_3,Y_1m_4,Y_1m_5,Y_3cm_1,Y_3cm_2,Y_3cm_3,Y_3cm_4,Y_3cm_5,"M_soil, g","SA_Soil, Bq/kg",+/-,Soil_0_5,Soil_5_10,Soil_10_15,Soil_15_20,Wood,Y_1m,Y_3cm,формация,тип,возраст,запас,"ПЗ, кБк/м2","ПЗ, Ки/км2"
6,Уг71,116.23,53.2388096194445,30.7740316361111,116,119,121,117,107,147,149,138,135,143,1708,431,54,,,,,,0.116,0.1424,поле,,,,3.0,0.1
6,,116.3,53.23927636440613,30.774725785808393,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,116.4,53.23994317490043,30.77571747579077,109,141,135,127,134,129,124,151,186,172,1571,557,70,,,,,,0.1292,0.1524,,,,,,
6,,116.5,53.24060998539473,30.776709165773152,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,116.6,53.24127679588903,30.77770085575553,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,116.7,53.24194360638333,30.778692545737908,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,116.8,53.24261041687763,30.77968423572029,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,116.9,53.243277227371934,30.780675925702667,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,117.0,53.243944037866235,30.78166761568505,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,117.1,53.24461084836054,30.782659305667426,164,176,215,198,199,230,210,241,238,251,1316,918,114,,,,,,0.1904,0.234,кустарники,,,,,
6,,117.2,53.24527765885484,30.783650995649804,141,152,158,155,139,193,170,182,175,157,,,,,,,,,0.149,0.1754,дорога,,,,,
6,,117.3,53.24594446934914,30.784642685632186,171,146,144,149,153,168,171,156,163,178,1629,534,67,,,,,,0.1526,0.1672,поле,,,,,
6,,117.4,53.24661127984344,30.785634375614563,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,117.5,53.24727809033774,30.786626065596945,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,117.6,53.24794490083204,30.787617755579323,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,117.7,53.24861171132634,30.7886094455617,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,117.8,53.24927852182064,30.789601135544082,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,117.9,53.249945332314944,30.79059282552646,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,118.0,53.250612142809246,30.79158451550884,152,134,196,168,138,179,128,177,197,144,,,,,,,,,0.1576,0.165,,,,,,
